"actor_id","first_name","last_name","gender","date_of_birth"
8,"Adrien","Brody","M","1973-04-14"
11,"Chen","Chang","M","1976-10-14"
18,"Paddy","Considine","M","1973-09-05"
24,"Darlan","Cunha","M","1988-07-26"
26,"Paul","Dano","M","1984-06-19"
30,"Leonardo","DiCaprio","M","1974-11-11"
32,"Hiroki","Doi","M","1999-08-10"
36,"Leandro","Firmino","M","1978-06-23"
40,"James","Franco","M","1978-04-19"
41,"Dillon","Freasier","M","1996-03-06"
42,"Tatsuya","Fujiwara","M","1982-05-15"
45,"Mason","Gamble","M","1986-01-16"
47,"Andrew","Garfield","M","1983-08-20"
60,"Kare","Hedebrant","M","1995-06-28"
65,"Miyu","Irino","M","1988-02-19"
70,"Takeshi","Kaneshiro","M","1973-10-11"
80,"Jude","Law","M","1972-12-29"
86,"Danny","Lloyd","M","1972-10-13"
89,"Tobey","Maguire","M","1975-06-27"
108,"Joaquin","Phoenix","M","1974-10-28"
113,"Tony","Revolori","M","1996-04-28"
114,"Craig","Roberts","M","1991-01-21"
116,"Alexandre","Rodrigues","M","1983-05-21"
119,"Jason","Schwartzmann","M","1980-06-26"
120,"Suraj","Sharma","M","1993-03-21"
122,"Douglas","Silva","M","1988-09-27"
124,"Rafe","Spall","M","1983-03-10"
130,"Chris","Tucker","M","1971-08-31"
136,"Luke","Wilson","M","1971-09-21"
138,"Patrick","Wilson","M","1973-07-03"
143,"Ji-tae","Yoo","M","1976-04-13"
155,"Adrien","Brody","M","1973-04-14"
158,"Chen","Chang","M","1976-10-14"
165,"Paddy","Considine","M","1973-09-05"
171,"Darlan","Cunha","M","1988-07-26"
173,"Paul","Dano","M","1984-06-19"
177,"Leonardo","DiCaprio","M","1974-11-11"
179,"Hiroki","Doi","M","1999-08-10"
183,"Leandro","Firmino","M","1978-06-23"
187,"James","Franco","M","1978-04-19"
188,"Dillon","Freasier","M","1996-03-06"
189,"Tatsuya","Fujiwara","M","1982-05-15"
192,"Mason","Gamble","M","1986-01-16"
194,"Andrew","Garfield","M","1983-08-20"
207,"Kare","Hedebrant","M","1995-06-28"
212,"Miyu","Irino","M","1988-02-19"
217,"Takeshi","Kaneshiro","M","1973-10-11"
227,"Jude","Law","M","1972-12-29"
233,"Danny","Lloyd","M","1972-10-13"
236,"Tobey","Maguire","M","1975-06-27"
255,"Joaquin","Phoenix","M","1974-10-28"
260,"Tony","Revolori","M","1996-04-28"
261,"Craig","Roberts","M","1991-01-21"
263,"Alexandre","Rodrigues","M","1983-05-21"
266,"Jason","Schwartzmann","M","1980-06-26"
267,"Suraj","Sharma","M","1993-03-21"
269,"Douglas","Silva","M","1988-09-27"
271,"Rafe","Spall","M","1983-03-10"
277,"Chris","Tucker","M","1971-08-31"
283,"Luke","Wilson","M","1971-09-21"
285,"Patrick","Wilson","M","1973-07-03"
290,"Ji-tae","Yoo","M","1976-04-13"
302,"Adrien","Brody","M","1973-04-14"
305,"Chen","Chang","M","1976-10-14"
312,"Paddy","Considine","M","1973-09-05"
318,"Darlan","Cunha","M","1988-07-26"
320,"Paul","Dano","M","1984-06-19"
324,"Leonardo","DiCaprio","M","1974-11-11"
326,"Hiroki","Doi","M","1999-08-10"
330,"Leandro","Firmino","M","1978-06-23"
334,"James","Franco","M","1978-04-19"
335,"Dillon","Freasier","M","1996-03-06"
336,"Tatsuya","Fujiwara","M","1982-05-15"
339,"Mason","Gamble","M","1986-01-16"
341,"Andrew","Garfield","M","1983-08-20"
354,"Kare","Hedebrant","M","1995-06-28"
359,"Miyu","Irino","M","1988-02-19"
364,"Takeshi","Kaneshiro","M","1973-10-11"
374,"Jude","Law","M","1972-12-29"
380,"Danny","Lloyd","M","1972-10-13"
383,"Tobey","Maguire","M","1975-06-27"
402,"Joaquin","Phoenix","M","1974-10-28"
407,"Tony","Revolori","M","1996-04-28"
408,"Craig","Roberts","M","1991-01-21"
410,"Alexandre","Rodrigues","M","1983-05-21"
413,"Jason","Schwartzmann","M","1980-06-26"
414,"Suraj","Sharma","M","1993-03-21"
416,"Douglas","Silva","M","1988-09-27"
418,"Rafe","Spall","M","1983-03-10"
424,"Chris","Tucker","M","1971-08-31"
430,"Luke","Wilson","M","1971-09-21"
432,"Patrick","Wilson","M","1973-07-03"
437,"Ji-tae","Yoo","M","1976-04-13"
